id,title,release_date,vote_average,vote_count,popularity,original_language,genre_ids,adult,video
278,The Shawshank Redemption,1994-09-23,8.711,29165,25.0909,en,"18,80",False,False
238,The Godfather,1972-03-14,8.685,22033,26.6288,en,"18,80",False,False
240,The Godfather Part II,1974-12-20,8.572,13317,12.4503,en,"18,80",False,False
424,Schindler's List,1993-12-15,8.566,16839,10.5187,en,"18,36,10752",False,False
389,12 Angry Men,1957-04-10,8.548,9506,8.2309,en,18,False,False
129,Spirited Away,2001-07-20,8.534,17610,17.2193,ja,"16,10751,14",False,False
155,The Dark Knight,2008-07-16,8.524,34665,30.9777,en,"18,28,80,53",False,False
19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.5,4518,6.5221,hi,"35,18,10749",False,False
497,The Green Mile,1999-12-10,8.502,18522,15.9527,en,"14,18,80",False,False
496243,Parasite,2019-05-30,8.5,19673,16.5454,ko,"35,53,18",False,False
122,The Lord of the Rings: The Return of the King,2003-12-17,8.49,25630,18.3662,en,"12,14,28",False,False
680,Pulp Fiction,1994-09-10,8.487,29245,16.031,en,"53,80,35",False,False
372058,Your Name.,2016-08-26,8.5,12080,18.8745,ja,"16,10749,18",False,False
13,Forrest Gump,1994-06-23,8.464,28813,24.6383,en,"35,18,10749",False,False
157336,Interstellar,2014-11-05,8.462,38187,35.1477,en,"12,18,878",False,False
429,"The Good, the Bad and the Ugly",1966-12-22,8.5,9234,9.7641,it,37,False,False
769,GoodFellas,1990-09-12,8.453,13753,10.813,en,"18,80",False,False
346,Seven Samurai,1954-04-26,8.451,4017,6.8297,ja,"28,18",False,False
12477,Grave of the Fireflies,1988-04-16,8.446,6182,0.0114,ja,"16,18,10752",False,False
637,Life Is Beautiful,1997-12-20,8.44,13613,7.9277,it,"35,18",False,False
550,Fight Club,1999-10-15,8.438,30955,15.0651,en,"18,53",False,False
667257,Impossible Things,2021-06-17,8.436,416,3.0386,es,"10751,18",False,False
14537,Harakiri,1962-09-15,8.436,1127,4.6467,ja,"28,18,36",False,False
11216,Cinema Paradiso,1988-11-17,8.4,4644,3.9093,it,"18,10749",False,False
598,City of God,2002-08-30,8.428,7857,9.6818,pt,"18,80",False,False
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.426,26562,32.3346,en,"12,14,28",False,False
539,Psycho,1960-06-22,8.422,10604,9.5597,en,"27,53,9648",False,False
40096,A Dog's Will,2000-09-15,8.4,1190,1.1487,pt,"35,18,14,10749",False,False
510,One Flew Over the Cuckoo's Nest,1975-11-19,8.412,11021,9.4775,en,18,False,False
121,The Lord of the Rings: The Two Towers,2002-12-18,8.411,23068,14.8943,en,"12,14,28",False,False
696374,Gabriel's Inferno,2020-05-29,8.4,2436,2.4808,en,"10749,18",False,False
255709,Hope,2013-10-02,8.399,806,3.7883,ko,18,False,False
311,Once Upon a Time in America,1984-05-23,8.399,5780,7.1473,en,"18,80",False,False
324857,Spider-Man: Into the Spider-Verse,2018-12-06,8.395,16579,15.6995,en,"16,28,12,878",False,False
4935,Howl's Moving Castle,2004-09-09,8.4,10600,10.8932,ja,"14,16,12",False,False
1891,The Empire Strikes Back,1980-05-20,8.4,17803,5.6003,en,"12,28,878",False,False
378064,A Silent Voice: The Movie,2016-09-17,8.387,4260,8.9044,ja,"16,18,10749",False,False
423,The Pianist,2002-09-17,8.4,9751,7.3147,en,"18,10752",False,False
807,Se7en,1995-09-22,8.377,22259,14.4459,en,"80,9648,53",False,False
244786,Whiplash,2014-10-10,8.374,16029,11.8266,en,"18,10402",False,False
27205,Inception,2010-07-15,8.37,38179,21.0901,en,"28,878,12",False,False
724089,Gabriel's Inferno: Part II,2020-07-31,8.368,1533,1.0279,en,"10749,18",False,False
