id,title,release_date,vote_average,vote_count,popularity,original_language,genre_ids,adult,video
1197137,Black Phone 2,2025-10-15,7.227,395,407.684,en,"27,53",False,False
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,7.8,518,181.0479,ja,"16,28,14,53",False,False
1280450,Stolen Girl,2025-09-04,6.7,71,109.7599,en,"53,28,12",False,False
1257009,Primitive War,2025-08-21,6.9,155,73.1411,en,"28,27,10752",False,False
1186350,Marco,2024-12-20,6.652,82,70.3256,ml,"28,80,53",False,False
1078605,Weapons,2025-08-04,7.338,2271,58.5281,en,"27,9648",False,False
604079,The Long Walk,2025-09-10,6.949,710,56.2647,en,"53,27,878",False,False
760329,The Smashing Machine,2025-10-01,6.5,149,54.4368,en,"36,18",False,False
1084242,Zootopia 2,2025-11-26,0.0,0,52.1374,en,"16,10751,35,12,9648",False,False
1246049,Dracula: A Love Tale,2025-07-30,7.1,349,45.8047,fr,"27,14,10749",False,False
701387,Bugonia,2025-10-23,7.639,273,45.2422,en,"878,80",False,False
1107216,Pets on a Train,2025-07-02,6.9,27,43.0213,fr,"16,35,12,53",False,False
425274,Now You See Me: Now You Don't,2025-11-12,7.1,5,31.7926,en,"53,80,9648",False,False
402431,Wicked,2024-11-20,6.9,2497,31.764,en,"18,10749,14",False,False
967941,Wicked: For Good,2025-11-17,0.0,0,28.2962,en,"10749,14,12",False,False
1033148,Die My Love,2025-10-06,7.071,14,27.178,en,18,False,False
798645,The Running Man,2025-11-11,9.0,2,26.5176,en,"28,53,878",False,False
986097,HIM,2025-09-18,5.9,200,23.3305,en,"27,9648",False,False
1086260,The Astronaut,2025-09-26,5.814,79,23.0957,en,"27,878,53",False,False
1214931,Nuremberg,2025-11-06,7.25,8,20.4754,en,"36,18,53,10752",False,False
674,Harry Potter and the Goblet of Fire,2005-11-16,7.8,21562,19.7734,en,"12,14",False,False
1500536,Dead to Rights,2025-07-19,8.476,42,16.1623,zh,"18,10752,36",False,False
1419406,The Shadow's Edge,2025-08-16,7.2,35,18.4784,zh,"28,80,53",False,False
1223601,Sisu: Road to Revenge,2025-10-21,8.0,3,17.8965,fi,"28,10752",False,False
121,The Lord of the Rings: The Two Towers,2002-12-18,8.411,23068,14.8943,en,"12,14,28",False,False
1549517,Cat's Hair,2025-11-28,0.0,0,17.4508,tl,"18,10749",False,False
1386827,Coyotes,2025-10-02,5.9,25,17.7402,en,"27,35",False,False
